198.0,4.762393010306819e-81
110.0,5.270311484311317e-77
170.0,4.6153767385857294e-76
133.0,5.747674951123673e-74
134.0,7.585991176828606e-74
11.0,4.666624460125474e-70
167.0,6.938776084638987e-70
113.0,1.5723034885819144e-69
114.0,2.652131622060435e-69
158.0,2.709419767606452e-67
180.0,1.2357908498224788e-63
143.0,1.6262222642722053e-63
218.0,2.1496817123883495e-62
144.0,8.720592446556348e-62
28.0,4.786536095697384e-60
208.0,5.629419052726773e-56
159.0,1.15157416078148e-54
123.0,2.0863739991993841e-53
124.0,4.75881774034089e-53
194.0,7.972481897062847e-52
193.0,8.14340912856088e-52
187.0,5.456139541827232e-48
189.0,6.098518289842184e-48
213.0,1.640864595704284e-45
214.0,1.7938805537447313e-45
169.0,8.163484752955916e-44
157.0,4.497928213337684e-42
179.0,3.6136452709585014e-41
176.0,2.36416349794467e-40
177.0,5.976186171194865e-40
120.0,2.445562734210698e-38
18.0,2.907279050976408e-36
160.0,7.765147460272331e-36
131.0,7.86054311131657e-36
238.0,3.024967234784114e-34
228.0,1.6970382351689235e-32
204.0,2.9741597699493403e-32
203.0,2.9911320437243657e-32
184.0,2.0744085482282344e-31
168.0,2.191916051120391e-31
107.0,7.442622476938186e-31
251.0,2.811233029455038e-30
130.0,1.58093881350612e-29
183.0,1.8693336700191136e-29
140.0,2.6577897076672462e-28
256.0,2.4197818890879103e-25
216.0,6.982421588363676e-24
236.0,9.187730639638474e-24
182.0,2.2056678994755056e-23
262.0,4.37184704799829e-23
83.0,9.461070114356041e-23
136.0,9.75743432802815e-23
93.0,5.764546198034531e-22
156.0,6.797414860105234e-22
80.0,1.333781547716942e-21
241.0,2.0554665953116212e-21
268.0,6.636400719405684e-21
191.0,1.1024851029640584e-20
254.0,7.996048667717108e-20
253.0,9.746091967328714e-20
229.0,3.7841678716999355e-19
150.0,5.734998882646865e-19
231.0,8.456826047501999e-19
16.0,2.6920115664349097e-18
171.0,6.76011828858176e-18
109.0,1.1234407990447181e-17
73.0,2.5338335107913158e-17
138.0,1.2888683351939253e-16
220.0,1.331609585236184e-16
100.0,1.4202866959863564e-16
173.0,1.4300849999767383e-16
174.0,1.6434312695987648e-16
57.0,8.88455813020997e-16
3.0,1.3407166344765283e-15
201.0,1.809952738187743e-15
154.0,2.589093478503899e-15
153.0,3.1924989541556556e-15
221.0,4.418604362774407e-15
89.0,2.6840706373000445e-14
181.0,7.668004256031818e-14
149.0,1.1332428622334431e-13
70.0,1.692870981450419e-13
63.0,2.1349686207300585e-13
103.0,2.553302887464984e-13
252.0,2.82018213868838e-13
87.0,3.1609217109178624e-13
243.0,5.877303080427434e-13
244.0,6.23443777304217e-13
25.0,8.540334353425215e-13
146.0,9.19323692168242e-13
59.0,1.2366261286586079e-12
26.0,1.8024739673039295e-12
8.0,2.495128742759766e-12
53.0,2.7313868072721886e-12
67.0,3.501800456010081e-12
77.0,3.955206796405076e-12
147.0,4.005012018771899e-12
151.0,4.502621334840495e-12
4.0,5.902343858517587e-12
43.0,8.230630714326213e-12
0.0,1.0148788500381995e-11
90.0,1.1464412927037745e-11
50.0,1.1610886933628282e-11
7.0,1.2314536948137756e-11
79.0,1.2510808334531364e-11
118.0,1.260086464923002e-11
94.0,1.5435994935747368e-11
78.0,1.5476508510918334e-11
9.0,2.0654827158787454e-11
40.0,2.718744984010037e-11
84.0,2.8581941915619606e-11
227.0,2.946782941764682e-11
224.0,4.244600248711722e-11
68.0,4.473272893079658e-11
33.0,4.5265039029783034e-11
223.0,4.939624886616491e-11
6.0,4.967801983459308e-11
51.0,5.373240540295217e-11
58.0,5.63741756308801e-11
49.0,5.893920641388458e-11
48.0,6.969522769342046e-11
248.0,8.080546975119194e-11
1.0,8.509036816527546e-11
56.0,8.519394227315742e-11
66.0,1.0490606105108578e-10
60.0,1.382782960004558e-10
74.0,1.7787173764604397e-10
128.0,1.8229839798649775e-10
69.0,1.8849173521595257e-10
44.0,3.071437181700242e-10
41.0,3.22512045971051e-10
38.0,3.6927774126140763e-10
141.0,4.096540021332452e-10
64.0,4.3502839940374754e-10
54.0,6.343540115374716e-10
233.0,7.245827592601207e-10
234.0,7.682220080977085e-10
76.0,8.124404111837805e-10
71.0,9.702020908291113e-10
122.0,1.1744819320561394e-09
162.0,1.2173695221125472e-09
88.0,1.345564786055956e-09
31.0,2.668049127366371e-09
46.0,5.505643928481999e-09
61.0,5.519231355469528e-09
246.0,6.710250699597576e-09
34.0,7.647475465947398e-09
250.0,9.017861391765712e-09
106.0,1.9078121976071607e-08
2.0,2.2469470750527024e-08
30.0,2.883716183455685e-08
196.0,3.710622113856097e-08
267.0,4.5926424539317154e-08
185.0,6.570719446156204e-08
86.0,7.000385160098993e-08
29.0,7.021391895563695e-08
39.0,7.301989437053204e-08
260.0,7.906413019814731e-08
96.0,8.213137022803999e-08
47.0,8.403172402999836e-08
19.0,1.0046634301761009e-07
175.0,1.757889905981263e-07
98.0,1.9040214815363547e-07
91.0,2.088422864170334e-07
22.0,2.146779023472456e-07
17.0,2.2935122756036553e-07
10.0,3.534762001943742e-07
235.0,3.930558753707554e-07
245.0,5.211332613474195e-07
111.0,7.249472089870735e-07
104.0,1.8509457478606301e-06
99.0,2.501158718262675e-06
222.0,6.540616984056001e-06
190.0,7.246971178344197e-06
27.0,7.35137413758724e-06
261.0,9.502730512413828e-06
178.0,1.3672773715732727e-05
239.0,1.5002919288955892e-05
242.0,1.5622080202880135e-05
206.0,1.8929223570511067e-05
