Time [s],v_Rms [m/s],a_Peak [m/s^2],a_Rms [m/s^2],Temperature [C],Crest [-]
1.7943944931030273,0,0,0,28,4
2.887190580368042,0,0,0,28,4
5.918247938156128,0,0,0,28,4
8.70101022720337,0,0,0,28,4
9.789699792861938,0,0,0,28,4
12.821242809295654,0,0,0,28,5
13.921925783157349,0,0,0,28,4
15.011572360992432,0,0,0,28,4
16.10197377204895,0,0,0,28,4
17.19152593612671,0,0,0,28,4
18.281962156295776,0,0,0,28,4
21.313334941864014,0,0,0,28,4
22.399305820465088,0,0,0,28,4
25.42962670326233,0,0,0,28,4
28.20964813232422,0,0,0,28,4
30.989548206329346,0,0,0,28,5
33.773091077804565,0,0,0,28,4
36.55579137802124,0,0,0,28,4
39.34189748764038,0,0,0,28,4
42.12411975860596,0,0,0,28,4
43.21291494369507,0,0,0,28,4
46.24409365653992,0,0,0,28,4
49.026020765304565,0,0,0,28,4
50.19411516189575,0,0,0,28,4
53.25642204284668,0,0,0,28,4
54.34579920768738,0,0,0,28,4
57.37639832496643,0,0,0,28,4
58.46356678009033,0,0,0,28,4
61.49831795692444,0,0,0,28,4
