Time[sec],Frequency [Hz],Voltage 1 [V],Current 1 [A],Power Factor [-],True Power [W]
6.771087646484375e-05,59.970001220703125,121.4378433227539,0.0800434872508049,0.2866404950618744,2.817441463470459
0.22182154655456543,59.970001220703125,121.4378433227539,0.0800434872508049,0.2875191867351532,2.8191134929656982
0.44204068183898926,59.970001220703125,121.5406265258789,0.08018296957015991,0.2839421331882477,2.7722954750061035
0.6867554187774658,59.970001220703125,121.5406265258789,0.08018296957015991,0.28620630502700806,2.7789835929870605
0.9015913009643555,59.970001220703125,121.5406265258789,0.08018296957015991,0.2847796380519867,2.763935089111328
1.121835708618164,59.970001220703125,121.5406265258789,0.08018296957015991,0.28662094473838806,2.7890162467956543
1.3417880535125732,59.970001220703125,121.5406265258789,0.08014143258333206,0.28725776076316833,2.8023929595947266
1.5918796062469482,59.970001220703125,121.54771423339844,0.08014143258333206,0.2878658175468445,2.8157691955566406
1.8219022750854492,59.970001220703125,121.54771423339844,0.08014143258333206,0.28522512316703796,2.794032335281372
2.0472464561462402,59.970001220703125,121.54771423339844,0.08014143258333206,0.28554317355155945,2.780655860900879
2.2664878368377686,59.970001220703125,121.54771423339844,0.08014143258333206,0.28468284010887146,2.7722954750061035
2.511993646621704,59.970001220703125,121.50984191894531,0.08020393550395966,0.28649666905403137,2.7973766326904297
2.721787691116333,59.970001220703125,121.50984191894531,0.08020393550395966,0.2864985764026642,2.8090810775756836
2.9317541122436523,59.970001220703125,121.50984191894531,0.08020393550395966,0.2848254442214966,2.745542287826538
3.161879301071167,59.970001220703125,121.50984191894531,0.08020393550395966,0.28556665778160095,2.7656073570251465
3.3719699382781982,59.970001220703125,121.47977447509766,0.08017323911190033,0.2865990102291107,2.782327890396118
3.6318359375,59.959999084472656,121.47977447509766,0.08017323911190033,0.2888888716697693,2.8258016109466553
3.851917266845703,59.959999084472656,121.47977447509766,0.08017323911190033,0.28818199038505554,2.805737018585205
4.071742296218872,59.970001220703125,121.47977447509766,0.08017323911190033,0.2857631742954254,2.7906882762908936
4.281889915466309,59.970001220703125,121.47977447509766,0.08017323911190033,0.2850017249584198,2.7856719493865967
4.5520758628845215,59.970001220703125,121.44578552246094,0.0802115723490715,0.2888055741786957,2.8391785621643066
4.761940956115723,59.970001220703125,121.44578552246094,0.0802115723490715,0.2849017381668091,2.763935089111328
4.971801042556763,59.970001220703125,121.44578552246094,0.0802115723490715,0.28630349040031433,2.7957046031951904
5.181873559951782,59.970001220703125,121.44578552246094,0.0802115723490715,0.2862263321876526,2.799048662185669
5.401996374130249,59.970001220703125,121.4385757446289,0.08025460690259933,0.28564077615737915,2.782327890396118
5.676877498626709,59.970001220703125,121.4385757446289,0.08025460690259933,0.287326842546463,2.805737018585205
5.881912708282471,59.970001220703125,121.4385757446289,0.08025460690259933,0.2870100736618042,2.8023929595947266
6.091821193695068,59.970001220703125,121.4385757446289,0.08025460690259933,0.28684166073799133,2.800720691680908
6.301886081695557,59.970001220703125,121.4385757446289,0.08025460690259933,0.28809481859207153,2.7906882762908936
6.551931142807007,59.970001220703125,121.46098327636719,0.08026903867721558,0.28551724553108215,2.762263059616089
6.7668843269348145,59.970001220703125,121.46098327636719,0.08026903867721558,0.2890212833881378,2.8441944122314453
6.972013235092163,59.970001220703125,121.46098327636719,0.08026903867721558,0.28867730498313904,2.8558990955352783
7.182026624679565,59.970001220703125,121.46098327636719,0.08026903867721558,0.28778573870658875,2.830817937850952
7.396968364715576,59.970001220703125,121.46098327636719,0.0803472027182579,0.2887085974216461,2.8391785621643066
7.633906126022339,59.970001220703125,121.48191833496094,0.0803472027182579,0.28651875257492065,2.799048662185669
7.846700668334961,59.970001220703125,121.48191833496094,0.0803472027182579,0.28756386041641235,2.8207855224609375
8.072129249572754,59.970001220703125,121.48191833496094,0.0803472027182579,0.2862772047519684,2.7722954750061035
8.28679609298706,59.970001220703125,121.48191833496094,0.0803472027182579,0.2834455370903015,2.750558614730835
8.552026748657227,59.970001220703125,121.67558288574219,0.08038400113582611,0.2857634723186493,2.7773118019104004
8.772063732147217,59.970001220703125,121.67558288574219,0.08038400113582611,0.28514885902404785,2.775639533996582
8.981692790985107,59.970001220703125,121.67558288574219,0.08038400113582611,0.28458499908447266,2.7672791481018066
9.191757202148438,59.970001220703125,121.67558288574219,0.08038400113582611,0.28398898243904114,2.7589190006256104
9.406708717346191,59.970001220703125,121.52421569824219,0.08026693761348724,0.28504833579063416,2.762263059616089
9.682123899459839,59.970001220703125,121.52421569824219,0.08026693761348724,0.28564050793647766,2.780655860900879
9.892098188400269,59.959999084472656,121.52421569824219,0.08026693761348724,0.2866482734680176,2.7906882762908936
10.111660480499268,59.959999084472656,121.52421569824219,0.08026693761348724,0.2875300645828247,2.787344217300415
10.33722448348999,59.959999084472656,121.52421569824219,0.08020936697721481,0.2864762544631958,2.787344217300415
10.59222149848938,59.959999084472656,121.3740234375,0.08020936697721481,0.2863769233226776,2.8023929595947266
10.801660060882568,59.959999084472656,121.3740234375,0.08020936697721481,0.2871083617210388,2.799048662185669
11.012008428573608,59.970001220703125,121.3740234375,0.08020936697721481,0.2870895564556122,2.7890162467956543
11.221858739852905,59.959999084472656,121.3740234375,0.08020936697721481,0.2877981662750244,2.8090810775756836
11.432204484939575,59.959999084472656,121.3184585571289,0.08022912591695786,0.28900256752967834,2.8224575519561768
11.682284355163574,59.959999084472656,121.3184585571289,0.08022912591695786,0.28676220774650574,2.8224575519561768
11.892088174819946,59.959999084472656,121.3184585571289,0.08022912591695786,0.2867647111415863,2.800720691680908
12.106712818145752,59.959999084472656,121.3184585571289,0.08022912591695786,0.28845492005348206,2.8040647506713867
12.322164535522461,59.959999084472656,121.3184585571289,0.08030249923467636,0.2862536609172821,2.794032335281372
12.592332363128662,59.959999084472656,121.40128326416016,0.08030249923467636,0.2874487340450287,2.8140974044799805
12.812848329544067,59.959999084472656,121.40128326416016,0.08030249923467636,0.2863284647464752,2.7957046031951904
13.021929025650024,59.959999084472656,121.40128326416016,0.08030249923467636,0.2859838902950287,2.7906882762908936
13.242177486419678,59.959999084472656,121.40128326416016,0.08030249923467636,0.2856404185295105,2.7672791481018066
