T [sec],t [sec],a_x [m/s2],a_y [m/s2],a_z [m/s2]
0.0009725093841552734,0.0009772777557373047,0.392266,0.0,9.022118
0.0009388923645019531,0.001918792724609375,-0.0784532,-0.6276256,10.6696352
0.0009286403656005859,0.0028486251831054688,0.0,0.0,10.198916
0.0009298324584960938,0.0037796497344970703,-0.0784532,-0.4707192,9.2574776
0.0009288787841796875,0.004709720611572266,0.0,-0.6276256,9.9635564
0.0009253025054931641,0.005636453628540039,0.0,0.0784532,9.7281968
0.000926971435546875,0.00656437873840332,0.0,-0.8629851999999999,9.649743599999999
0.0009250640869140625,0.007490396499633789,0.0,0.7060788,8.7867584
0.0009264945983886719,0.008417844772338867,0.0,0.0,10.198916
0.0009250640869140625,0.009344100952148438,0.0,-0.3138128,9.492837199999999
0.0009257793426513672,0.010270833969116211,0.0,0.1569064,9.414383999999998
0.0009248256683349609,0.01119685173034668,0.5491724,0.0,10.277369199999999
0.0009255409240722656,0.012123584747314453,0.0,0.4707192,9.571290399999999
0.0009238719940185547,0.013048410415649414,-0.0784532,-0.3138128,10.7480884
0.0009229183197021484,0.01397252082824707,0.1569064,-0.0784532,9.2574776
0.0009238719940185547,0.014897584915161133,0.392266,-0.1569064,9.1005712
0.0009276866912841797,0.01582646369934082,1.1767979999999998,-0.0784532,10.0420096
0.0009303092956542969,0.016758441925048828,0.8629851999999999,0.0,9.571290399999999
0.0009391307830810547,0.01769852638244629,0.0,-0.8629851999999999,9.3359308
0.0009317398071289062,0.018631458282470703,0.0,-0.5491724,9.8851032
0.0009281635284423828,0.019560575485229492,0.1569064,0.0,10.0420096
0.0009298324584960938,0.02049112319946289,0.0,0.5491724,9.1005712
0.0009276866912841797,0.021419763565063477,0.784532,0.3138128,9.022118
0.0009276866912841797,0.02234816551208496,-0.3138128,-0.2353596,10.983448000000001
0.0009291172027587891,0.023278474807739258,-0.5491724,-0.2353596,9.649743599999999
0.0009284019470214844,0.02420830726623535,0.1569064,0.3138128,9.8851032
0.0009276866912841797,0.025136947631835938,-0.1569064,-0.9414384,9.649743599999999
0.0009279251098632812,0.026079177856445312,0.0784532,0.2353596,9.8851032
0.0009291172027587891,0.02700972557067871,0.0784532,0.2353596,10.0420096
0.0009286403656005859,0.027939319610595703,0.5491724,-0.1569064,9.1790244
0.0009248256683349609,0.028865337371826172,0.0,-0.7060788,9.9635564
0.0009238719940185547,0.029790401458740234,0.2353596,0.0,9.3359308
0.0009255409240722656,0.030716896057128906,0.2353596,0.2353596,10.0420096
0.0009245872497558594,0.031642913818359375,-0.0784532,-0.7060788,10.8265416
0.0009310245513916016,0.032587289810180664,-0.1569064,-0.2353596,10.3558224
0.0009281635284423828,0.03351616859436035,0.0,-0.392266,9.7281968
0.0009272098541259766,0.034444332122802734,0.3138128,0.4707192,9.571290399999999
0.0009274482727050781,0.03537321090698242,-0.3138128,-0.784532,9.9635564
0.0009284019470214844,0.03630232810974121,1.1767979999999998,-0.0784532,9.414383999999998
0.0009262561798095703,0.03723001480102539,0.0,0.0,10.4342756
0.0009281635284423828,0.03815937042236328,0.0,0.4707192,9.414383999999998
0.0009276866912841797,0.03908848762512207,0.0,-0.4707192,9.1790244
0.0009279251098632812,0.04001760482788086,0.0,0.0,10.7480884
0.0009264945983886719,0.04094529151916504,0.0,0.2353596,9.3359308
0.0009272098541259766,0.04187321662902832,0.0,-0.8629851999999999,10.9049948
0.000926971435546875,0.0428011417388916,0.2353596,0.6276256,10.0420096
