T [sec],t [sec],a_x [m/s2],a_y [m/s2],a_z [m/s2]
0.0009996891021728516,0.001005411148071289,1.1767979999999998,-0.6276256,10.1204628
0.0009398460388183594,0.0019481182098388672,-0.6276256,-1.0198916,9.649743599999999
0.0009295940399169922,0.0028791427612304688,0.4707192,-0.6276256,9.414383999999998
0.0009267330169677734,0.0038073062896728516,0.0,-1.0198916,10.591182
0.0009281635284423828,0.004736661911010742,-0.0784532,-2.3535959999999996,10.0420096
0.0009267330169677734,0.005664825439453125,-0.4707192,-2.2751428,10.3558224
0.0009264945983886719,0.006592273712158203,0.784532,1.4121576,9.1005712
0.0009248256683349609,0.007518291473388672,0.0,1.1767979999999998,10.5127288
0.0009272098541259766,0.008446693420410156,-0.5491724,1.1767979999999998,9.7281968
0.0009257793426513672,0.00937342643737793,-0.4707192,-0.5491724,10.5127288
0.0009262561798095703,0.010300636291503906,0.0,0.0784532,9.9635564
0.0009250640869140625,0.011226654052734375,-0.3138128,0.5491724,9.9635564
0.0009243488311767578,0.01215219497680664,-0.5491724,-1.1767979999999998,10.5127288
0.0009315013885498047,0.013084650039672852,-0.4707192,0.0,9.022118
0.0009288787841796875,0.014014482498168945,0.784532,-1.3337044,10.277369199999999
0.000926971435546875,0.014942407608032227,-0.0784532,2.5105024,8.629852
0.0009284019470214844,0.01587200164794922,-0.8629851999999999,1.3337044,10.4342756
0.0009295940399169922,0.01680278778076172,1.4906107999999998,-0.1569064,10.0420096
0.0009274482727050781,0.017731428146362305,0.0,1.8044235999999998,9.80665
0.0009274482727050781,0.018659591674804688,0.8629851999999999,-1.7259703999999998,10.3558224
0.000926971435546875,0.01958751678466797,-0.3138128,0.2353596,9.649743599999999
0.0009310245513916016,0.020519495010375977,0.2353596,-1.4121576,10.5127288
0.0009329319000244141,0.0214536190032959,0.5491724,-3.530394,10.0420096
0.000926971435546875,0.02238154411315918,0.8629851999999999,0.6276256,7.453054
0.0009279251098632812,0.02331066131591797,0.4707192,0.0,11.454167199999999
0.0009279251098632812,0.024239778518676758,-1.0198916,1.4906107999999998,9.492837199999999
0.000926971435546875,0.02516794204711914,0.0,-0.6276256,10.4342756
0.00093841552734375,0.026107311248779297,0.2353596,-0.3138128,10.3558224
0.0009276866912841797,0.027036190032958984,0.0,0.3138128,9.9635564
0.0009279251098632812,0.027965307235717773,0.0784532,-0.5491724,10.0420096
0.0009291172027587891,0.02889561653137207,-1.2552512,-2.1966896,9.80665
0.0009238719940185547,0.02982044219970703,-0.4707192,0.0784532,9.414383999999998
0.0009253025054931641,0.030746936798095703,0.6276256,-1.4121576,11.2972608
0.0009245872497558594,0.03167247772216797,0.0,2.0397832,9.9635564
0.0009272098541259766,0.032601118087768555,-0.9414384,1.569064,9.7281968
0.0009279251098632812,0.033530473709106445,0.0784532,0.0,9.9635564
0.0009267330169677734,0.03445792198181152,0.784532,1.2552512,9.3359308
0.0009272098541259766,0.035386085510253906,-0.0784532,0.5491724,10.4342756
0.0009274482727050781,0.03631472587585449,0.0,0.2353596,8.5513988
0.0009267330169677734,0.03724217414855957,0.6276256,-2.5105024,10.277369199999999
0.0009274482727050781,0.038170814514160156,0.9414384,-0.9414384,8.9436648
0.0009274482727050781,0.03909921646118164,0.4707192,-0.5491724,9.649743599999999
0.0009267330169677734,0.04002690315246582,1.1767979999999998,1.2552512,8.7867584
0.0009350776672363281,0.040962934494018555,0.0,1.1767979999999998,10.1204628
0.0009272098541259766,0.04189109802246094,0.3138128,-0.784532,10.3558224
0.0009262561798095703,0.042818307876586914,0.6276256,0.2353596,8.8652116
0.0009262561798095703,0.04374527931213379,-1.0983448,-1.4906107999999998,10.6696352
0.0009264945983886719,0.04467272758483887,0.0,-0.6276256,9.3359308
0.0009262561798095703,0.045599937438964844,0.2353596,-2.5105024,9.649743599999999
0.0009257793426513672,0.04652667045593262,0.0,-2.1966896,9.3359308
0.0009260177612304688,0.04745364189147949,0.0,0.0,10.1204628
0.0009284019470214844,0.04838299751281738,-0.3138128,0.2353596,10.983448000000001
0.0009262561798095703,0.04931068420410156,-0.392266,1.1767979999999998,10.0420096
0.0009312629699707031,0.050243377685546875,-0.5491724,0.9414384,9.80665
0.0009253025054931641,0.051169633865356445,0.0,-0.784532,10.3558224
0.0009281635284423828,0.052098989486694336,-1.0198916,0.0784532,9.8851032
0.0009317398071289062,0.05303192138671875,-1.0198916,0.5491724,10.3558224
0.0009272098541259766,0.053960323333740234,-0.392266,-0.6276256,10.0420096
0.0009260177612304688,0.05488753318786621,0.0784532,-1.7259703999999998,9.80665
0.0009267330169677734,0.05581498146057129,1.8044235999999998,0.9414384,9.414383999999998
0.0009264945983886719,0.05674242973327637,0.0,1.8044235999999998,10.6696352
0.0009264945983886719,0.057669878005981445,0.0,0.9414384,9.3359308
0.0009262561798095703,0.05859732627868652,0.0,0.2353596,10.3558224
0.0009260177612304688,0.0595242977142334,0.9414384,0.6276256,8.0022264
0.0009312629699707031,0.06045722961425781,0.0784532,-0.6276256,10.3558224
0.0009272098541259766,0.0613863468170166,0.8629851999999999,1.1767979999999998,10.0420096
0.0009262561798095703,0.06231355667114258,0.3138128,-2.5105024,10.591182
0.0009255409240722656,0.06323957443237305,0.7060788,-2.9812215999999996,9.2574776
0.0009264945983886719,0.06416726112365723,0.5491724,0.5491724,9.414383999999998
0.0009267330169677734,0.0650947093963623,0.0,-0.5491724,10.4342756
0.0009260177612304688,0.06602168083190918,0.0784532,0.6276256,9.649743599999999
0.0009264945983886719,0.06694912910461426,-1.3337044,0.784532,9.7281968
0.0009267330169677734,0.06787657737731934,0.0,-1.6475172,11.6895268
0.0009284019470214844,0.06880593299865723,-0.392266,0.392266,8.394492399999999
0.00092315673828125,0.06972980499267578,0.0784532,-0.2353596,9.649743599999999
0.0009236335754394531,0.07065439224243164,-0.7060788,-1.4906107999999998,10.0420096
0.0009276866912841797,0.07158374786376953,-0.1569064,-0.7060788,9.80665
0.0009260177612304688,0.07251143455505371,0.9414384,-0.6276256,10.0420096
0.0009267330169677734,0.07343935966491699,0.0784532,2.4320492,9.414383999999998
0.0009281635284423828,0.07437610626220703,-1.0198916,1.1767979999999998,10.0420096
0.0009267330169677734,0.07530403137207031,0.4707192,0.1569064,9.022118
0.0009262561798095703,0.07623124122619629,0.5491724,1.8044235999999998,8.7867584
0.0009262561798095703,0.07715845108032227,0.0,0.0,10.277369199999999
0.0009274482727050781,0.07808685302734375,0.0,0.392266,9.3359308
0.000926971435546875,0.07901477813720703,0.0784532,-2.2751428,10.591182
0.0009260177612304688,0.07994198799133301,1.1767979999999998,-2.5105024,9.492837199999999
0.0009272098541259766,0.08087015151977539,0.8629851999999999,0.8629851999999999,9.414383999999998
0.0009260177612304688,0.08179712295532227,0.0784532,0.9414384,9.9635564
0.0009260177612304688,0.08272409439086914,0.0,0.0,10.0420096
0.0009267330169677734,0.08365178108215332,0.6276256,0.0,9.9635564
0.0009267330169677734,0.0845797061920166,0.3138128,0.3138128,9.571290399999999
0.0009262561798095703,0.08550691604614258,-1.0198916,-1.3337044,11.1403544
0.0009300708770751953,0.08643841743469238,-0.1569064,-0.6276256,9.492837199999999
0.0009293556213378906,0.08736920356750488,-0.5491724,-2.2751428,10.9049948
0.0009295940399169922,0.08829975128173828,-0.2353596,-1.96133,10.5127288
0.0009238719940185547,0.08922457695007324,0.7060788,-1.2552512,9.649743599999999
0.0009238719940185547,0.0901494026184082,-0.0784532,1.8828768,10.0420096
0.0009241104125976562,0.09107422828674316,-0.392266,2.0397832,9.1790244
0.0009241104125976562,0.09199953079223633,-0.0784532,-0.0784532,10.0420096
0.0009255409240722656,0.092926025390625,-0.1569064,0.7060788,10.3558224
0.0009272098541259766,0.09385395050048828,-0.7060788,0.0784532,9.9635564
0.000926971435546875,0.09478187561035156,-0.3138128,0.2353596,9.492837199999999
0.0009260177612304688,0.09570908546447754,-0.0784532,-0.784532,10.0420096
0.000926971435546875,0.09663724899291992,0.0,-2.1182364,9.492837199999999
0.0009355545043945312,0.09757399559020996,1.2552512,0.0,10.9049948
0.0009267330169677734,0.09850168228149414,0.4707192,2.9027684,8.7867584
