T [sec],t [sec],a_x [m/s2],a_y [m/s2],a_z [m/s2]
0.0009932518005371094,0.0009982585906982422,0.4707192,20.0447926,-7.217694399999999
0.0009365081787109375,0.0019381046295166016,5.5701772,-20.0840192,20.0447926
0.0009298324584960938,0.0028693675994873047,-13.572403600000001,-20.0840192,20.0447926
0.000926971435546875,0.003797292709350586,3.8442068,20.0447926,20.0447926
0.0009262561798095703,0.004725217819213867,3.138128,17.338157199999998,-20.0840192
0.0009658336639404297,0.005692243576049805,4.707191999999999,20.0447926,20.0447926
0.0009319782257080078,0.006625175476074219,-18.436502,-20.0840192,-19.221034
0.0009293556213378906,0.007555723190307617,7.296147599999999,20.0447926,-3.4519407999999996
0.0009284019470214844,0.00848531723022461,-20.0840192,-20.0840192,20.0447926
0.0009295940399169922,0.00941610336303711,-8.7867584,8.237585999999999,-20.0840192
0.0009281635284423828,0.010345697402954102,-12.4740588,20.0447926,20.0447926
0.0009276866912841797,0.011274337768554688,-9.1005712,-20.0840192,12.160245999999999
0.0009288787841796875,0.012204170227050781,-12.6309652,20.0447926,-20.0840192
0.0009279251098632812,0.013133525848388672,-19.221034,-2.5105024,20.0447926
0.0009245872497558594,0.014059066772460938,-18.2011424,20.0447926,-20.0840192
0.0009245872497558594,0.014984846115112305,-14.2000292,20.0447926,20.0447926
0.0009255409240722656,0.015911340713500977,-15.298373999999999,-20.0840192,-20.0840192
0.0009241104125976562,0.01683640480041504,0.0,20.0447926,-20.0840192
0.0009288787841796875,0.017766475677490234,-7.453054,-4.4718324,20.0447926
0.0009281635284423828,0.018695831298828125,1.1767979999999998,20.0447926,-20.0840192
0.000926971435546875,0.019623517990112305,-2.9812215999999996,15.0630144,18.1226892
0.0009281635284423828,0.020552873611450195,10.277369199999999,-20.0840192,20.0447926
0.0009274482727050781,0.02148151397705078,0.6276256,20.0447926,-20.0840192
0.0009343624114990234,0.02241683006286621,20.0447926,8.7083052,20.0447926
0.0009279251098632812,0.023346424102783203,14.121576,-20.0840192,3.530394
0.0009288787841796875,0.0242767333984375,17.8873296,20.0447926,-20.0840192
0.0009279251098632812,0.025205612182617188,6.7469752000000005,-20.0840192,20.0447926
0.00093841552734375,0.026144981384277344,20.0447926,20.0447926,20.0447926
0.0009279251098632812,0.02707386016845703,-20.0840192,-20.0840192,20.0447926
0.000926971435546875,0.028002023696899414,19.142580799999998,9.492837199999999,20.0447926
0.0009267330169677734,0.028929710388183594,8.0022264,-20.0840192,20.0447926
0.0009272098541259766,0.029857873916625977,-1.6475172,0.0,-20.0840192
0.0009284019470214844,0.030787229537963867,-15.69064,20.0447926,20.0447926
0.000926971435546875,0.03171539306640625,-20.0840192,-20.0840192,-10.3558224
